Tri?u ch?ng,Khoa,T? v?n
"Da b? n?i m?n ??, ng?a, ?au, b?m tím",Da li?u,"Da b? n?i m?n ??, ng?a, ?au, b?m tím,Da li?u"
"Ho, khò khè",Hô h?p,"Ho, khò khè,Hô h?p"
"S?t, ?au ??u",Hô h?p,"S?t, ?au ??u,Hô h?p"
"Khó th?, ?au ng?c",Hô h?p,"Khó th?, ?au ng?c,Hô h?p"
"Khó th?, m?t m?i",Hô h?p,"Khó th?, m?t m?i,Hô h?p"
"?au h?ng, s? m?i",Hô h?p,"?au h?ng, s? m?i,Hô h?p"
"Khó th?, ho khan",Hô h?p,"Khó th?, ho khan,Hô h?p"
"Khó th?, ?au h?ng",Hô h?p,"Khó th?, ?au h?ng,Hô h?p"
"?au ng?c, khó th?",Hô h?p,"?au ng?c, khó th?,Hô h?p"
"S?t, ho khan",Hô h?p,"S?t, ho khan,Hô h?p"
"Khó th?, ?au ??u",Hô h?p,"Khó th?, ?au ??u,Hô h?p"
"S?t, ?au h?ng",Hô h?p,"S?t, ?au h?ng,Hô h?p"
"S?t, khó th?",Hô h?p,"S?t, khó th?,Hô h?p"
"Ho khan, m?t m?i",Hô h?p,"Ho khan, m?t m?i,Hô h?p"
"Khó th?, ?au c? th?",Hô h?p,"Khó th?, ?au c? th?,Hô h?p"
"?au h?ng, khó th?",Hô h?p,"?au h?ng, khó th?,Hô h?p"
"Ho liên miên, s? m?i",Hô h?p,"Ho liên miên, s? m?i,Hô h?p"
"S?t, ?au ng?c",Hô h?p,"S?t, ?au ng?c,Hô h?p"
"Khó th?, ngh?t th?",Hô h?p,"Khó th?, ngh?t th?,Hô h?p"
"Khó th?, ho ??m",Hô h?p,"Khó th?, ho ??m,Hô h?p"
"?au h?ng, ho khan",Hô h?p,"?au h?ng, ho khan,Hô h?p"
"?au ng?c, ho khan",Hô h?p,"?au ng?c, ho khan,Hô h?p"
"S?t, ho ??m",Hô h?p,"S?t, ho ??m,Hô h?p"
"S?t, m?t m?i",Hô h?p,"S?t, m?t m?i,Hô h?p"
"?au ??u, ho khan",Hô h?p,"?au ??u, ho khan,Hô h?p"
"Khó th?, s? m?i",Hô h?p,"Khó th?, s? m?i,Hô h?p"
"S?t, khó th? ?êm",Hô h?p,"S?t, khó th? ?êm,Hô h?p"
"Ho khan, s? m?i",Hô h?p,"Ho khan, s? m?i,Hô h?p"
"?au ng?c, m?t m?i",Hô h?p,"?au ng?c, m?t m?i,Hô h?p"
"Khó th?, ?au b?ng",Hô h?p,"Khó th?, ?au b?ng,Hô h?p"
"?au ??u, ?au ng?c",Hô h?p,"?au ??u, ?au ng?c,Hô h?p"
"Khó th?, ho liên miên",Hô h?p,"Khó th?, ho liên miên,Hô h?p"
"S?t, khó th? ?êm",Hô h?p,"S?t, khó th? ?êm,Hô h?p"
"Ho liên miên, ?au ??u",Hô h?p,"Ho liên miên, ?au ??u,Hô h?p"
"?au h?ng, ?au ??u",Hô h?p,"?au h?ng, ?au ??u,Hô h?p"
"Khó th?, ?au x??ng",Hô h?p,"Khó th?, ?au x??ng,Hô h?p"
"S?t, ho liên miên",Hô h?p,"S?t, ho liên miên,Hô h?p"
"Khó th?, khó nu?t",Hô h?p,"Khó th?, khó nu?t,Hô h?p"
"?au ng?c, ngh?t th?",Hô h?p,"?au ng?c, ngh?t th?,Hô h?p"
"S?t, khó th? vào ban ?êm",Hô h?p,"S?t, khó th? vào ban ?êm,Hô h?p"
"S?t, ?au b?ng",Hô h?p,"S?t, ?au b?ng,Hô h?p"
"Khó th?, ho ??m ?en",Hô h?p,"Khó th?, ho ??m ?en,Hô h?p"
"?au h?ng, khó th? vào ban ?êm",Hô h?p,"?au h?ng, khó th? vào ban ?êm,Hô h?p"
"?au ng?c, ?au ??u",Hô h?p,"?au ng?c, ?au ??u,Hô h?p"
"S?t, khó th? ban ngày",Hô h?p,"S?t, khó th? ban ngày,Hô h?p"
"Ho khan, ?au ng?c",Hô h?p,"Ho khan, ?au ng?c,Hô h?p"
"Khó th?, ?au kh?p",Hô h?p,"Khó th?, ?au kh?p,Hô h?p"
"S?t, s? m?i",Hô h?p,"S?t, s? m?i,Hô h?p"
"?au ??u, ?au c? th?",Hô h?p,"?au ??u, ?au c? th?,Hô h?p"
"?au h?ng, s? m?i",Hô h?p,"?au h?ng, s? m?i,Hô h?p"
"Khó th?, khó th? vào ban ngày",Hô h?p,"Khó th?, khó th? vào ban ngày,Hô h?p"
"S?t, ho ??m ?en",Hô h?p,"S?t, ho ??m ?en,Hô h?p"
"Khó th?, ho ??m vàng",Hô h?p,"Khó th?, ho ??m vàng,Hô h?p"
"Khó th?, ho ??m l?ng",Hô h?p,"Khó th?, ho ??m l?ng,Hô h?p"
"S?t, khó th? vào bu?i sáng",Hô h?p,"S?t, khó th? vào bu?i sáng,Hô h?p"
"S?t, khó th? vào bu?i t?i",Hô h?p,"S?t, khó th? vào bu?i t?i,Hô h?p"
"Khó th?, ?au kh?p",Hô h?p,"Khó th?, ?au kh?p,Hô h?p"
"S?t, ?au c? th?",Hô h?p,"S?t, ?au c? th?,Hô h?p"
"?au h?ng, khó th? vào ban ngày",Hô h?p,"?au h?ng, khó th? vào ban ngày,Hô h?p"
"S?t, ?au kh?p",Hô h?p,"S?t, ?au kh?p,Hô h?p"
"?au ng?c, ?au b?ng",Hô h?p,"?au ng?c, ?au b?ng,Hô h?p"
"Khó th?, ?au l?ng",Hô h?p,"Khó th?, ?au l?ng,Hô h?p"
"S?t, ho ?au h?ng",Hô h?p,"S?t, ho ?au h?ng,Hô h?p"
"S?t, s? m?i và ho khan",Hô h?p,"S?t, s? m?i và ho khan,Hô h?p"
"Khó th?, ho liên miên",Hô h?p,"Khó th?, ho liên miên,Hô h?p"
"S?t, m?t m?i và ho liên miên",Hô h?p,"S?t, m?t m?i và ho liên miên,Hô h?p"
"S?t, ho khô và ?au h?ng",Hô h?p,"S?t, ho khô và ?au h?ng,Hô h?p"
"S?t, khó th? và ?au ??u",Hô h?p,"S?t, khó th? và ?au ??u,Hô h?p"
"Khó th?, ho n?ng",Hô h?p,"Khó th?, ho n?ng,Hô h?p"
"Khó th?, s? m?i và ?au ??u",Hô h?p,"Khó th?, s? m?i và ?au ??u,Hô h?p"
"S?t, ?au ??u và ?au ng?c",Hô h?p,"S?t, ?au ??u và ?au ng?c,Hô h?p"
"S?t, ho khan và m?t m?i",Hô h?p,"S?t, ho khan và m?t m?i,Hô h?p"
"Khó th?, m?t m?i và ?au ??u",Hô h?p,"Khó th?, m?t m?i và ?au ??u,Hô h?p"
"?au ng?c, ho ?au h?ng và s? m?i",Hô h?p,"?au ng?c, ho ?au h?ng và s? m?i,Hô h?p"
"Khó th?, ?au ??u và m?t m?i",Hô h?p,"Khó th?, ?au ??u và m?t m?i,Hô h?p"
"Khó th?, ho khan và ?au ??u",Hô h?p,"Khó th?, ho khan và ?au ??u,Hô h?p"
"S?t, ho và khó th? ?êm",Hô h?p,"S?t, ho và khó th? ?êm,Hô h?p"
"S?t, ho n?ng và ?au h?ng",Hô h?p,"S?t, ho n?ng và ?au h?ng,Hô h?p"
"S?t, ?au ??u và ho liên miên",Hô h?p,"S?t, ?au ??u và ho liên miên,Hô h?p"
"S?t, ho khô và m?t m?i",Hô h?p,"S?t, ho khô và m?t m?i,Hô h?p"
"S?t, ho ?au h?ng và ?au b?ng",Hô h?p,"S?t, ho ?au h?ng và ?au b?ng,Hô h?p"
"S?t, ho liên miên và ?au ??u",Hô h?p,"S?t, ho liên miên và ?au ??u,Hô h?p"
"Khó th?, ho khô và ?au ??u",Hô h?p,"Khó th?, ho khô và ?au ??u,Hô h?p"
"S?t, khó th? và ho liên miên",Hô h?p,"S?t, khó th? và ho liên miên,Hô h?p"
"S?t, ho liên miên và s? m?i",Hô h?p,"S?t, ho liên miên và s? m?i,Hô h?p"
"Khó th?, ho ??m và ?au ??u",Hô h?p,"Khó th?, ho ??m và ?au ??u,Hô h?p"
"S?t, khó th? và ?au ng?c",Hô h?p,"S?t, khó th? và ?au ng?c,Hô h?p"
"Khó th?, ho và ?au c? th?",Hô h?p,"Khó th?, ho và ?au c? th?,Hô h?p"
"Khó th?, s? m?i và ho liên miên",Hô h?p,"Khó th?, s? m?i và ho liên miên,Hô h?p"
"S?t, ho và ?au c? th?",Hô h?p,"S?t, ho và ?au c? th?,Hô h?p"
"S?t, ?au ??u và ?au l?ng",Hô h?p,"S?t, ?au ??u và ?au l?ng,Hô h?p"
"Khó th?, ho ?au h?ng và ?au ??u",Hô h?p,"Khó th?, ho ?au h?ng và ?au ??u,Hô h?p"
"Khó th?, ho khô và ?au b?ng",Hô h?p,"Khó th?, ho khô và ?au b?ng,Hô h?p"
"Khó th?, ho và ?au x??ng",Hô h?p,"Khó th?, ho và ?au x??ng,Hô h?p"
"S?t, ho liên miên và ?au b?ng",Hô h?p,"S?t, ho liên miên và ?au b?ng,Hô h?p"
"S?t, ?au ??u và s? m?i",Hô h?p,"S?t, ?au ??u và s? m?i,Hô h?p"
"S?t, ho ?au h?ng và khó th? vào ban ?êm",Hô h?p,"S?t, ho ?au h?ng và khó th? vào ban ?êm,Hô h?p"
"S?t, ho ?au h?ng và ?au ng?c",Hô h?p,"S?t, ho ?au h?ng và ?au ng?c,Hô h?p"
"Khó th?, ho ??m ?en và s? m?i",Hô h?p,"Khó th?, ho ??m ?en và s? m?i,Hô h?p"
"Khó th?, ho và ?au b?ng",Hô h?p,"Khó th?, ho và ?au b?ng,Hô h?p"
"?au ng?c, khó th?",Tim m?ch,"?au ng?c, khó th?,Tim m?ch"
"M?t m?i, chóng m?t",Tim m?ch,"M?t m?i, chóng m?t,Tim m?ch"
"?au th?t ng?c, ù tai",Tim m?ch,"?au th?t ng?c, ù tai,Tim m?ch"
"?au th?t ng?c, ?au vai",Tim m?ch,"?au th?t ng?c, ?au vai,Tim m?ch"
"?au ng?c, ?au c?",Tim m?ch,"?au ng?c, ?au c?,Tim m?ch"
"?au ng?c, ?au l?ng",Tim m?ch,"?au ng?c, ?au l?ng,Tim m?ch"
"?au ng?c, m?t c?m giác tay trái",Tim m?ch,"?au ng?c, m?t c?m giác tay trái,Tim m?ch"
"Khó th?, ho",Tim m?ch,"Khó th?, ho,Tim m?ch"
"Khó th?, ?au ng?c",Tim m?ch,"Khó th?, ?au ng?c,Tim m?ch"
"Khó th?, ?au ??u",Tim m?ch,"Khó th?, ?au ??u,Tim m?ch"
"?au ng?c, bu?n nôn",Tim m?ch,"?au ng?c, bu?n nôn,Tim m?ch"
"?au ng?c, m?t m?i",Tim m?ch,"?au ng?c, m?t m?i,Tim m?ch"
"?au ng?c, khó th? vào ban ?êm",Tim m?ch,"?au ng?c, khó th? vào ban ?êm,Tim m?ch"
"?au ng?c, nh?c ??u",Tim m?ch,"?au ng?c, nh?c ??u,Tim m?ch"
"?au ng?c, chóng m?t",Tim m?ch,"?au ng?c, chóng m?t,Tim m?ch"
"?au ng?c, m?t ng?",Tim m?ch,"?au ng?c, m?t ng?,Tim m?ch"
"M?t ng?, m?t m?i",Tim m?ch,"M?t ng?, m?t m?i,Tim m?ch"
"M?t ng?, ?au ng?c",Tim m?ch,"M?t ng?, ?au ng?c,Tim m?ch"
"?au ng?c, ?au b?ng",Tim m?ch,"?au ng?c, ?au b?ng,Tim m?ch"
"?au ng?c, s?t",Tim m?ch,"?au ng?c, s?t,Tim m?ch"
"?au ng?c, r?i lo?n tiêu hóa",Tim m?ch,"?au ng?c, r?i lo?n tiêu hóa,Tim m?ch"
"?au ng?c, r?i lo?n gi?c ng?",Tim m?ch,"?au ng?c, r?i lo?n gi?c ng?,Tim m?ch"
"?au ng?c, m?t c?m giác ? tay ph?i",Tim m?ch,"?au ng?c, m?t c?m giác ? tay ph?i,Tim m?ch"
"?au ng?c, ?au ??u",Tim m?ch,"?au ng?c, ?au ??u,Tim m?ch"
"?au ng?c, ?au kh?p",Tim m?ch,"?au ng?c, ?au kh?p,Tim m?ch"
"?au ng?c, ?au b?ng d??i",Tim m?ch,"?au ng?c, ?au b?ng d??i,Tim m?ch"
"?au ng?c, ?au c?",Tim m?ch,"?au ng?c, ?au c?,Tim m?ch"
"?au ng?c, m?t trí nh?",Tim m?ch,"?au ng?c, m?t trí nh?,Tim m?ch"
"?au ng?c, m?t c?m giác chân trái",Tim m?ch,"?au ng?c, m?t c?m giác chân trái,Tim m?ch"
"?au ng?c, s?ng kh?p",Tim m?ch,"?au ng?c, s?ng kh?p,Tim m?ch"
"?au ng?c, co gi?t",Tim m?ch,"?au ng?c, co gi?t,Tim m?ch"
"?au ng?c, s?t rét",Tim m?ch,"?au ng?c, s?t rét,Tim m?ch"
"?au ng?c, m?t c?m giác m?t",Tim m?ch,"?au ng?c, m?t c?m giác m?t,Tim m?ch"
"?au ng?c, nôn m?a",Tim m?ch,"?au ng?c, nôn m?a,Tim m?ch"
"?au ng?c, ch?y máu cam",Tim m?ch,"?au ng?c, ch?y máu cam,Tim m?ch"
"?au ng?c, r?i lo?n nh?p tim",Tim m?ch,"?au ng?c, r?i lo?n nh?p tim,Tim m?ch"
"?au ng?c, run",Tim m?ch,"?au ng?c, run,Tim m?ch"
"?au ng?c, r?i lo?n th? l?c",Tim m?ch,"?au ng?c, r?i lo?n th? l?c,Tim m?ch"
"?au ng?c, nhi?m trùng ???ng ti?t ni?u",Tim m?ch,"?au ng?c, nhi?m trùng ???ng ti?t ni?u,Tim m?ch"
"?au ng?c, ng?a da",Tim m?ch,"?au ng?c, ng?a da,Tim m?ch"
"?au ng?c, viêm h?ng",Tim m?ch,"?au ng?c, viêm h?ng,Tim m?ch"
"?au ng?c, ?? da",Tim m?ch,"?au ng?c, ?? da,Tim m?ch"
"?au ng?c, c?m giác khó ch?u ? ??u",Tim m?ch,"?au ng?c, c?m giác khó ch?u ? ??u,Tim m?ch"
"?au ng?c, m?t c?m giác chân ph?i",Tim m?ch,"?au ng?c, m?t c?m giác chân ph?i,Tim m?ch"
"?au ng?c, s?t cao",Tim m?ch,"?au ng?c, s?t cao,Tim m?ch"
"?au ng?c, b?ng da",Tim m?ch,"?au ng?c, b?ng da,Tim m?ch"
"?au ng?c, ?au b?ng trên",Tim m?ch,"?au ng?c, ?au b?ng trên,Tim m?ch"
"?au ng?c, ho liên t?c",Tim m?ch,"?au ng?c, ho liên t?c,Tim m?ch"
"?au ng?c, m?t c?m giác vùng ch?u",Tim m?ch,"?au ng?c, m?t c?m giác vùng ch?u,Tim m?ch"
"?au ng?c, khó th? khi t?p th? d?c",Tim m?ch,"?au ng?c, khó th? khi t?p th? d?c,Tim m?ch"
?au ng?c và m?t m?i,Tim m?ch,"?au ng?c và m?t m?i,Tim m?ch"
Khó th? và chóng m?t,Tim m?ch,"Khó th? và chóng m?t,Tim m?ch"
Nh?c ??u và khó th?,Tim m?ch,"Nh?c ??u và khó th?,Tim m?ch"
?au ng?c và bu?n nôn,Tim m?ch,"?au ng?c và bu?n nôn,Tim m?ch"
?au ng?c và khó tiêu,Tim m?ch,"?au ng?c và khó tiêu,Tim m?ch"
?au ng?c và ?au l?ng,Tim m?ch,"?au ng?c và ?au l?ng,Tim m?ch"
Khó th? và ?au c?,Tim m?ch,"Khó th? và ?au c?,Tim m?ch"
?au ng?c và ?au vai,Tim m?ch,"?au ng?c và ?au vai,Tim m?ch"
?au ng?c và r?i lo?n gi?c ng?,Tim m?ch,"?au ng?c và r?i lo?n gi?c ng?,Tim m?ch"
?au ng?c và ?au kh?p,Tim m?ch,"?au ng?c và ?au kh?p,Tim m?ch"
?au ng?c và ?au b?ng,Tim m?ch,"?au ng?c và ?au b?ng,Tim m?ch"
?au ng?c và ?au ??u,Tim m?ch,"?au ng?c và ?au ??u,Tim m?ch"
?au ng?c và m?t ng?,Tim m?ch,"?au ng?c và m?t ng?,Tim m?ch"
?au ng?c và ho,Tim m?ch,"?au ng?c và ho,Tim m?ch"
?au ng?c và s?t,Tim m?ch,"?au ng?c và s?t,Tim m?ch"
Khó th? và s?t,Tim m?ch,"Khó th? và s?t,Tim m?ch"
M?t m?i và s?t,Tim m?ch,"M?t m?i và s?t,Tim m?ch"
?au ng?c và suy nh??c c? th?,Tim m?ch,"?au ng?c và suy nh??c c? th?,Tim m?ch"
Khó th? và ?au th?t ng?c,Tim m?ch,"Khó th? và ?au th?t ng?c,Tim m?ch"
Chóng m?t và r?i lo?n nh?p tim,Tim m?ch,"Chóng m?t và r?i lo?n nh?p tim,Tim m?ch"
?au ng?c và ?au n?a ??u,Tim m?ch,"?au ng?c và ?au n?a ??u,Tim m?ch"
?au ng?c và khó nu?t,Tim m?ch,"?au ng?c và khó nu?t,Tim m?ch"
Khó th? và ?au kh?p,Tim m?ch,"Khó th? và ?au kh?p,Tim m?ch"
?au ng?c và ?au c?,Tim m?ch,"?au ng?c và ?au c?,Tim m?ch"
M?t m?i và ?au ??u,Tim m?ch,"M?t m?i và ?au ??u,Tim m?ch"
?au ng?c và ?au bàn tay,Tim m?ch,"?au ng?c và ?au bàn tay,Tim m?ch"
Khó th? và ?au l?ng,Tim m?ch,"Khó th? và ?au l?ng,Tim m?ch"
?au ng?c và khó ng?,Tim m?ch,"?au ng?c và khó ng?,Tim m?ch"
Khó th? và bu?n nôn,Tim m?ch,"Khó th? và bu?n nôn,Tim m?ch"
?au ng?c và ?au r?ng,Tim m?ch,"?au ng?c và ?au r?ng,Tim m?ch"
M?t m?i và chóng m?t,Tim m?ch,"M?t m?i và chóng m?t,Tim m?ch"
?au ng?c và khó th? khi n?m nghiêng,Tim m?ch,"?au ng?c và khó th? khi n?m nghiêng,Tim m?ch"
?au ng?c và khó th? khi leo c?u thang,Tim m?ch,"?au ng?c và khó th? khi leo c?u thang,Tim m?ch"
M?t m?i và khó th? khi leo c?u thang,Tim m?ch,"M?t m?i và khó th? khi leo c?u thang,Tim m?ch"
?au ng?c và ?au khu?u tay,Tim m?ch,"?au ng?c và ?au khu?u tay,Tim m?ch"
Khó th? và ?au vùng ng?c,Tim m?ch,"Khó th? và ?au vùng ng?c,Tim m?ch"
?au ng?c và m?t c?m giác ? tay,Tim m?ch,"?au ng?c và m?t c?m giác ? tay,Tim m?ch"
M?t m?i và ?au ng?c,Tim m?ch,"M?t m?i và ?au ng?c,Tim m?ch"
Khó th? và ?au ng?c,Tim m?ch,"Khó th? và ?au ng?c,Tim m?ch"
?au ng?c và m?t c?m giác ? chân,Tim m?ch,"?au ng?c và m?t c?m giác ? chân,Tim m?ch"
Chóng m?t và ?au ng?c,Tim m?ch,"Chóng m?t và ?au ng?c,Tim m?ch"
M?t m?i và ?au khu?u tay,Tim m?ch,"M?t m?i và ?au khu?u tay,Tim m?ch"
?au ng?c và ?au m?i toàn thân,Tim m?ch,"?au ng?c và ?au m?i toàn thân,Tim m?ch"
Khó th? và ?au m?i toàn thân,Tim m?ch,"Khó th? và ?au m?i toàn thân,Tim m?ch"
?au ng?c và ?au b?ng d??i,Tim m?ch,"?au ng?c và ?au b?ng d??i,Tim m?ch"
M?t m?i và ?au c? th?,Tim m?ch,"M?t m?i và ?au c? th?,Tim m?ch"
Khó th? và ?au c? th?,Tim m?ch,"Khó th? và ?au c? th?,Tim m?ch"
?au ng?c và chóng m?t,Tim m?ch,"?au ng?c và chóng m?t,Tim m?ch"
M?t m?i và ?au kh?p,Tim m?ch,"M?t m?i và ?au kh?p,Tim m?ch"
Khó th? và m?t c?m giác ? tay,Tim m?ch,"Khó th? và m?t c?m giác ? tay,Tim m?ch"
"?au m?t, khó nhìn xa",M?t,"?au m?t, khó nhìn xa,M?t"
"Khó nhìn g?n, nhìn m?",M?t,"Khó nhìn g?n, nhìn m?,M?t"
"S?ng m?t, ng?a m?t",M?t,"S?ng m?t, ng?a m?t,M?t"
"M?t ??, ch?y n??c m?t",M?t,"M?t ??, ch?y n??c m?t,M?t"
"C?m giác m?t khô, kích ?ng m?t",M?t,"C?m giác m?t khô, kích ?ng m?t,M?t"
"Nh?c m?t, ch?y máu m?t",M?t,"Nh?c m?t, ch?y máu m?t,M?t"
"Ánh sáng chói, nhìn m?",M?t,"Ánh sáng chói, nhìn m?,M?t"
"M?t thâm qu?ng, b? tím tái",M?t,"M?t thâm qu?ng, b? tím tái,M?t"
"C?m giác s?ng ? vùng quanh m?t, ?au m?t khi di chuy?n",M?t,"C?m giác s?ng ? vùng quanh m?t, ?au m?t khi di chuy?n,M?t"
"Nhìn m?, b? chói khi nhìn vào ánh sáng",M?t,"Nhìn m?, b? chói khi nhìn vào ánh sáng,M?t"
"C?m giác có v?t gì trong m?t, khó ch?u khi nhìn",M?t,"C?m giác có v?t gì trong m?t, khó ch?u khi nhìn,M?t"
"Gi?m t?m nhìn, m? m?t",M?t,"Gi?m t?m nhìn, m? m?t,M?t"
"M?t ??, s?ng, ch?y n??c m?t",M?t,"M?t ??, s?ng, ch?y n??c m?t,M?t"
"C?m giác n?ng m?t, m?i m?t khi s? d?ng máy tính ho?c ??c sách lâu",M?t,"C?m giác n?ng m?t, m?i m?t khi s? d?ng máy tính ho?c ??c sách lâu,M?t"
"?au m?t, khó nhìn khi s? d?ng ?i?n tho?i, máy tính",M?t,"?au m?t, khó nhìn khi s? d?ng ?i?n tho?i, máy tính,M?t"
"C?m giác khó ch?u, ng?a ? vùng quanh m?t, s?ng m?t",M?t,"C?m giác khó ch?u, ng?a ? vùng quanh m?t, s?ng m?t,M?t"
"?au m?t khi nhìn vào ánh sáng m?nh, chói m?t",M?t,"?au m?t khi nhìn vào ánh sáng m?nh, chói m?t,M?t"
"S?ng m?t, m? m?t",M?t,"S?ng m?t, m? m?t,M?t"
"Nhìn m?, khó nhìn xa g?n",M?t,"Nhìn m?, khó nhìn xa g?n,M?t"
"C?m giác ?au nh?c ? vùng xung quanh m?t, m?t s?ng ??",M?t,"C?m giác ?au nh?c ? vùng xung quanh m?t, m?t s?ng ??,M?t"
"M?t khô, khó ch?u khi nhìn lâu",M?t,"M?t khô, khó ch?u khi nhìn lâu,M?t"
"Ch?y máu m?t, nh?c m?t",M?t,"Ch?y máu m?t, nh?c m?t,M?t"
"M?t ??, s?ng, ng?a m?t",M?t,"M?t ??, s?ng, ng?a m?t,M?t"
"C?m giác rát, khó ch?u trong m?t, m?t khó ch?u",M?t,"C?m giác rát, khó ch?u trong m?t, m?t khó ch?u,M?t"
"M?t khô, khó ch?u khi ?eo kính áp tròng",M?t,"M?t khô, khó ch?u khi ?eo kính áp tròng,M?t"
"Nhìn m?, khó nhìn ?êm",M?t,"Nhìn m?, khó nhìn ?êm,M?t"
"C?m giác n?ng m?t, khó ch?u khi ?i?u ch?nh t?m nhìn",M?t,"C?m giác n?ng m?t, khó ch?u khi ?i?u ch?nh t?m nhìn,M?t"
"S?ng m?t, m?t ??",M?t,"S?ng m?t, m?t ??,M?t"
"C?m giác chói, khó nhìn vào ánh sáng ban ngày",M?t,"C?m giác chói, khó nhìn vào ánh sáng ban ngày,M?t"
"Nhìn m?, khó ch?u khi ??c sách",M?t,"Nhìn m?, khó ch?u khi ??c sách,M?t"
"?au m?t, m?t ??, khó nhìn xa g?n",M?t,"?au m?t, m?t ??, khó nhìn xa g?n,M?t"
"C?m giác khó ch?u, s?ng m?t, khó nhìn vào ánh sáng",M?t,"C?m giác khó ch?u, s?ng m?t, khó nhìn vào ánh sáng,M?t"
"Nh?c m?t, m?t khô",M?t,"Nh?c m?t, m?t khô,M?t"
"M?t ??, ng?a m?t",M?t,"M?t ??, ng?a m?t,M?t"
"C?m giác khó ch?u, m?i m?t khi lái xe lâu",M?t,"C?m giác khó ch?u, m?i m?t khi lái xe lâu,M?t"
"S?ng m?t, m?t ??, m?t khô khi ? trong môi tr??ng khô h?n",M?t,"S?ng m?t, m?t ??, m?t khô khi ? trong môi tr??ng khô h?n,M?t"
"C?m giác khó ch?u, ng?a m?t khi ti?p xúc v?i các hóa ch?t",M?t,"C?m giác khó ch?u, ng?a m?t khi ti?p xúc v?i các hóa ch?t,M?t"
"Nhìn m?, khó nhìn khi s? d?ng thu?c kích thích",M?t,"Nhìn m?, khó nhìn khi s? d?ng thu?c kích thích,M?t"
"C?m giác khó ch?u, ?au m?t khi ? trong môi tr??ng áp su?t cao",M?t,"C?m giác khó ch?u, ?au m?t khi ? trong môi tr??ng áp su?t cao,M?t"
"S?ng m?t, m?t ??, khó nhìn xa g?n khi th?c khuya ho?c th?c quá lâu",M?t,"S?ng m?t, m?t ??, khó nhìn xa g?n khi th?c khuya ho?c th?c quá lâu,M?t"
"C?m giác khó ch?u, m?t ??, khó nhìn khi ti?p xúc v?i các tác nhân gây d? ?ng",M?t,"C?m giác khó ch?u, m?t ??, khó nhìn khi ti?p xúc v?i các tác nhân gây d? ?ng,M?t"
"Nhìn m?, khó nhìn khi ? môi tr??ng thi?u ánh sáng",M?t,"Nhìn m?, khó nhìn khi ? môi tr??ng thi?u ánh sáng,M?t"
"C?m giác khó ch?u, ng?a m?t khi b? viêm nhi?m ???ng m?t",M?t,"C?m giác khó ch?u, ng?a m?t khi b? viêm nhi?m ???ng m?t,M?t"
"S?ng m?t, m?t ??, khó ch?u khi b? ?au ??u",M?t,"S?ng m?t, m?t ??, khó ch?u khi b? ?au ??u,M?t"
"C?m giác khó ch?u, m?t khô khi ? trong môi tr??ng có ?i?u hòa không khí",M?t,"C?m giác khó ch?u, m?t khô khi ? trong môi tr??ng có ?i?u hòa không khí,M?t"
"Nhìn m?, khó nhìn khi ? môi tr??ng có ?? ?m cao",M?t,"Nhìn m?, khó nhìn khi ? môi tr??ng có ?? ?m cao,M?t"
"C?m giác khó ch?u, m?t ?? khi b? viêm k?t m?c",M?t,"C?m giác khó ch?u, m?t ?? khi b? viêm k?t m?c,M?t"
"S?ng m?t, m?t ??, khó ch?u khi b? viêm mi?n d?ch",M?t,"S?ng m?t, m?t ??, khó ch?u khi b? viêm mi?n d?ch,M?t"
"C?m giác khó ch?u, m?t khô khi b? r?i lo?n gi?c ng?",M?t,"C?m giác khó ch?u, m?t khô khi b? r?i lo?n gi?c ng?,M?t"
"C?m giác khó ch?u, khó nhìn rõ khi ?eo kính c?n",M?t,"C?m giác khó ch?u, khó nhìn rõ khi ?eo kính c?n,M?t"
"?au m?t, nh?c m?t khi ??c sách ho?c làm vi?c trên máy tính trong th?i gian dài",M?t,"?au m?t, nh?c m?t khi ??c sách ho?c làm vi?c trên máy tính trong th?i gian dài,M?t"
"Nhìn m?, khó nhìn rõ khi ? trong môi tr??ng b?i b?n ho?c khói b?i",M?t,"Nhìn m?, khó nhìn rõ khi ? trong môi tr??ng b?i b?n ho?c khói b?i,M?t"
"C?m giác chói m?t, khó nhìn khi ti?p xúc v?i ánh sáng m?nh",M?t,"C?m giác chói m?t, khó nhìn khi ti?p xúc v?i ánh sáng m?nh,M?t"
"M?t th??ng xuyên ch?y n??c, khó kh?n khi th? và ?au ??u khi ti?p xúc v?i mùi hóa ch?t",M?t,"M?t th??ng xuyên ch?y n??c, khó kh?n khi th? và ?au ??u khi ti?p xúc v?i mùi hóa ch?t,M?t"
"S?ng m?t, m?t ??, khó nhìn rõ khi ti?p xúc v?i ánh n?ng m?t tr?i",M?t,"S?ng m?t, m?t ??, khó nhìn rõ khi ti?p xúc v?i ánh n?ng m?t tr?i,M?t"
"C?m giác khó ch?u, ng?a m?t khi b? nhi?m trùng khu?n ho?c vi rút",M?t,"C?m giác khó ch?u, ng?a m?t khi b? nhi?m trùng khu?n ho?c vi rút,M?t"
"Nhìn m?, khó nhìn rõ khi ?i?u ch?nh t? môi tr??ng sáng sang t?i ho?c ng??c l?i",M?t,"Nhìn m?, khó nhìn rõ khi ?i?u ch?nh t? môi tr??ng sáng sang t?i ho?c ng??c l?i,M?t"
